원본질문데이터	원본정답데이터	작업자질문데이터	작업자정답데이터	VALUE	property	resource	보기	작업데이터	OX작업번호	OX작업
'무산일기'의 감독은(는) 누구인가요?	'무산일기'의 감독은(는) 박정범(이)에요.	무산일기는 누가 만들었어요?	무산일기는 박정범이 만들었어요	박정범	감독	무산일기	'무산일기'의 감독은(는) 박정범(이)에요.	무산일기는 박정범이 만들었어요	262	"O,O,O"
똑바로 살아라 (1997년 영화)'의 감독은(는) 누구인가요?	똑바로 살아라 (1997년 영화)'의 감독은(는) 이상우 (영화 감독)(이)에요.	똑바로 살아라 (1997년 영화)'를 연출한 사람은 누구인가요?	이상우가 똑바로 살아라 (1997년 영화)'를 연출했어요.	이상우 (영화 감독)	감독	똑바로 살아라 (1997년 영화)	똑바로 살아라 (1997년 영화)'의 감독은(는) 이상우 (영화 감독)(이)에요.	이상우가 똑바로 살아라 (1997년 영화)'를 연출했어요.	500	"O,O,O"
'디워'의 감독은(는) 누구인가요?	'디워'의 감독은(는) 심형래(이)에요.	'디워'는 어느 감독의 작품인가요?	심형래는 '디워'의 감독이라고 해요	심형래	감독	디워	'디워'의 감독은(는) 누구인가요?	'디워'는 어느 감독의 작품인가요?	377	"O,O,O"
더 폰'의 감독은(는) 누구인가요?	더 폰'의 감독은(는) 김봉주(이)에요.	더 폰은 누가 만들었나요?	더 폰은 김봉주 감독이 만들었어요.	김봉주	감독	더 폰	더 폰'의 감독은(는) 김봉주(이)에요.	더 폰은 김봉주 감독이 만들었어요.	76	"O,O,O"
비밀은 없다'의 감독은(는) 누구인가요?	비밀은 없다'의 감독은(는) 이경미(이)에요.	비밀은 없다는 어느 감독의 영화인가요?	이경미 감독의 영화는 비밀은 없다 예요.	이경미	감독	비밀은 없다	비밀은 없다'의 감독은(는) 이경미(이)에요.	이경미 감독의 영화는 비밀은 없다 예요.	468	"A,O,O"
어바웃 타임'의 감독은(는) 누구인가요?	어바웃 타임'의 감독은(는) 리처드 커티스(이)에요.	어바웃 타임은 어떤 사람이 만들었나요?	리처드 커티스가 어바웃 타임을 제작했어요.	리처드 커티스	감독	어바웃 타임	어바웃 타임'의 감독은(는) 누구인가요?	어바웃 타임은 어떤 사람이 만들었나요?	207	"O,A,O"
카우보이 비밥 천국의 문'의 감독은(는) 누구인가요?	카우보이 비밥 천국의 문'의 감독은(는) 와타나베 신이치로(이)에요.	누가 카우보이 비밥 천국의 문'을 연출했나요?	와타나베 신이치로가 카우보이 비밥 천국의 문'을 연출했어요.	와타나베 신이치로	감독	카우보이 비밥 천국의 문	카우보이 비밥 천국의 문'의 감독은(는) 누구인가요?	누가 카우보이 비밥 천국의 문'을 연출했나요?	435	"O,O,A"
미션: 톱스타를 훔쳐라'의 감독은(는) 누구인가요?	미션: 톱스타를 훔쳐라'의 감독은(는) 노병하(이)에요.	미션:톱스타를 훔쳐라에서 감독직은 누가 맡았나요?	미션:톱스타를 훔쳐라의 감독직을 노병하가 맡았어요	노병하	감독	미션: 톱스타를 훔쳐라	미션: 톱스타를 훔쳐라'의 감독은(는) 노병하(이)에요.	미션:톱스타를 훔쳐라의 감독직을 노병하가 맡았어요	176	"O,O,O"
형님먼저 아우먼저'의 감독은(는) 누구인가요?	형님먼저 아우먼저'의 감독은(는) 심우섭(이)에요.	형님먼저 아우먼저의 감독은 누구예요?	형님먼저 아우먼저의 감독은 심우섭이예요.	심우섭	감독	형님먼저 아우먼저	형님먼저 아우먼저'의 감독은(는) 누구인가요?	형님먼저 아우먼저의 감독은 누구예요?	369	"O,O,O"
서울의 달빛'의 감독은(는) 누구인가요?	서울의 달빛'의 감독은(는) 김문옥(이)에요.	서울의 달빛은 누가 만들었나요?	서울의 달빛은 김문옥감독이 만들었어요	김문옥	감독	서울의 달빛	서울의 달빛'의 감독은(는) 누구인가요?	서울의 달빛은 누가 만들었나요?	65	"X,O,O"
북경반점 (영화)'의 감독은(는) 누구인가요?	북경반점 (영화)'의 감독은(는) 김의석(이)에요.	북경반점 (영화) 감독의 이름이 어떻게 되나요?	북경반점 (영화) 감독의 이름은 김의석이에요.	김의석	감독	북경반점 (영화)	북경반점 (영화)'의 감독은(는) 누구인가요?	북경반점 (영화) 감독의 이름이 어떻게 되나요?	101	"O,O,O"
오늘밤은 참으세요'의 감독은(는) 누구인가요?	오늘밤은 참으세요'의 감독은(는) 박종호 (영화 감독)(이)에요.	오늘밤은 참으세요는 누가 연출했나요?	오늘밤은 참으세요는 박종호가 연출했어요.	박종호 (영화 감독)	감독	오늘밤은 참으세요	오늘밤은 참으세요'의 감독은(는) 박종호 (영화 감독)(이)에요.	오늘밤은 참으세요는 박종호가 연출했어요.	274	"O,O,O"
관제탑 (영화)'의 감독은(는) 누구인가요?	관제탑 (영화)'의 감독은(는) 미키 다카히로(이)에요.	누가 관제탑을 지휘해서 만들었나요?	관제탑을 지휘해서 만든 사람은 미키 다카히로에요.	미키 다카히로	감독	관제탑 (영화)	관제탑 (영화)'의 감독은(는) 미키 다카히로(이)에요.	관제탑을 지휘해서 만든 사람은 미키 다카히로에요.	236	"O,O,A"
'개똥이'의 감독은(는) 누구인가요?	'개똥이'의 감독은(는) 김병준(이)에요.	'개똥이'를 만든 사람은 누구인가요?	'개똥이'를 만든 사람은 김병준이에요.	김병준	감독	개똥이	'개똥이'의 감독은(는) 누구인가요?	'개똥이'를 만든 사람은 누구인가요?	69	"O,A,O"
카우보이 비밥 천국의 문'의 감독은(는) 누구인가요?	카우보이 비밥 천국의 문'의 감독은(는) 와타나베 신이치로(이)에요.	카우보이 비밥 천국의 문'의 연출가는 누구인가요?	카우보이 비밥 천국의 문'의 연출가는 와타나베 신이치로에요.	와타나베 신이치로	감독	카우보이 비밥 천국의 문	카우보이 비밥 천국의 문'의 감독은(는) 와타나베 신이치로(이)에요.	카우보이 비밥 천국의 문'의 연출가는 와타나베 신이치로에요.	434	"O,O,O"
태양을 훔친 여자'의 감독은(는) 누구인가요?	태양을 훔친 여자'의 감독은(는) 이원세(이)에요.	태양을 훔친 여자를 지휘해서 만든 사람은 누구인가요?	태양을 훔친 여자는 이원세가 지휘해서 만들었어요.	이원세	감독	태양을 훔친 여자	태양을 훔친 여자'의 감독은(는) 이원세(이)에요.	태양을 훔친 여자는 이원세가 지휘해서 만들었어요.	526	"O,A,A"
내 사랑 싸가지 (영화)'의 감독은(는) 누구인가요?	내 사랑 싸가지 (영화)'의 감독은(는) 신동엽 (영화감독)(이)에요.	내 사랑 싸가지를 총 지휘한 사람은 누구인가요?	내 사람 싸가지는 신동엽이 총 지휘했어요.	신동엽 (영화감독)	감독	내 사랑 싸가지 (영화)	내 사랑 싸가지 (영화)'의 감독은(는) 신동엽 (영화감독)(이)에요.	내 사람 싸가지는 신동엽이 총 지휘했어요.	332	"O,O,A"
김두한과 서대문 1번지'의 감독은(는) 누구인가요?	김두한과 서대문 1번지'의 감독은(는) 이혁수(이)에요.	김두한과 서대문 1번지의 촬영을 지휘한 사람이 누구인가요?	이혁수 감독이 김두한과 서대문 1번지의 촬영을 지휘했어요.	이혁수	감독	김두한과 서대문 1번지	김두한과 서대문 1번지'의 감독은(는) 누구인가요?	김두한과 서대문 1번지의 촬영을 지휘한 사람이 누구인가요?	567	"O,O,A"
'까시'의 감독은(는) 누구인가요?	'까시'의 감독은(는) 이영민(이)에요.	'까시'는 누가 감독했나요?	'까시'는 이영민이 감독했어요.	이영민	감독	까시	'까시'의 감독은(는) 이영민(이)에요.	'까시'는 이영민이 감독했어요.	514	"O,O,O"
처녀의 성'의 감독은(는) 누구인가요?	처녀의 성'의 감독은(는) 문여송(이)에요.	처녀의 성을 만든 사람은 누구인가요?	처녀의 성을 만든 사람은 문여송이에요.	문여송	감독	처녀의 성	처녀의 성'의 감독은(는) 문여송(이)에요.	처녀의 성을 만든 사람은 문여송이에요.	224	"A,O,O"
맛있는 덫 - 정사'의 감독은(는) 누구인가요?	맛있는 덫 - 정사'의 감독은(는) 신정균(이)에요.	맛있는 덫 - 정사를 감독한 사람이 누구인가요?	맛있는 덫 - 신정균 감독이 정사를 만들었어요.	신정균	감독	맛있는 덫 - 정사	맛있는 덫 - 정사'의 감독은(는) 누구인가요?	맛있는 덫 - 정사를 감독한 사람이 누구인가요?	355	"O,O,O"
사랑과 눈물'의 감독은(는) 누구인가요?	사랑과 눈물'의 감독은(는) 남기남(이)에요.	사랑과 눈물은 누가 제작했나요?	사랑과 눈물을 만든 사람은 남기남이에요.	남기남	감독	사랑과 눈물	사랑과 눈물'의 감독은(는) 누구인가요?	사랑과 눈물은 누가 제작했나요?	163	"O,O,A"
링크 (2011년 영화)'의 감독은(는) 누구인가요?	링크 (2011년 영화)'의 감독은(는) 우디 한(이)에요.	링크 2011년 영화는 누가 만들었나요?	링크 2011년 영화를 만든 사람은 우디 한이에요.	우디 한	감독	링크 (2011년 영화)	링크 (2011년 영화)'의 감독은(는) 누구인가요?	링크 2011년 영화는 누가 만들었나요?	437	"O,A,O"
타워 (영화)'의 감독은(는) 누구인가요?	타워 (영화)'의 감독은(는) 김지훈 (1971년)(이)에요.	영화 타워의 감독을 누가 맡았나요?	영화 타워는 김지훈(1971)이 감독을 맡았어요.	김지훈 (1971년)	감독	타워 (영화)	타워 (영화)'의 감독은(는) 김지훈 (1971년)(이)에요.	영화 타워는 김지훈(1971)이 감독을 맡았어요.	120	"O,O,O"
카우보이 비밥 천국의 문'의 감독은(는) 누구인가요?	카우보이 비밥 천국의 문'의 감독은(는) 와타나베 신이치로(이)에요.	누가 카우보이 비밥 천국의 문'을 연출했나요?	와타나베 신이치로가 카우보이 비밥 천국의 문'을 연출했어요.	와타나베 신이치로	감독	카우보이 비밥 천국의 문	카우보이 비밥 천국의 문'의 감독은(는) 와타나베 신이치로(이)에요.	와타나베 신이치로가 카우보이 비밥 천국의 문'을 연출했어요.	436	"O,O,O"
사는 것 산다는 것 살아간다는 것'의 감독은(는) 누구인가요?	사는 것 산다는 것 살아간다는 것'의 감독은(는) 류진호(이)에요.	사는 것 산다는 것 살아간다는 것의 감독의 이름을 적어주세요.	사는 것 산다는 것 살아간다는 것의 감독 이름은 류진호에요.	류진호	감독	사는 것 산다는 것 살아간다는 것	사는 것 산다는 것 살아간다는 것'의 감독은(는) 류진호(이)에요.	사는 것 산다는 것 살아간다는 것의 감독 이름은 류진호에요.	190	"O,O,O"
발레교습소 (영화)'의 감독은(는) 누구인가요?	발레교습소 (영화)'의 감독은(는) 변영주(이)에요.	발레교습소는 누구의 작품인가요?	변영주 감독이 발레교습소를 찍었어요.	변영주	감독	발레교습소 (영화)	발레교습소 (영화)'의 감독은(는) 변영주(이)에요.	변영주 감독이 발레교습소를 찍었어요.	314	"O,X,O"
구로 아리랑'의 감독은(는) 누구인가요?	구로 아리랑'의 감독은(는) 박종원 (1960년)(이)에요.	구로 아리랑을 만든 감독의 이름은 무엇인가요?	구로 아리랑을 만든 감독의 이름은 박종원(1960년)이에요.	박종원 (1960년)	감독	구로 아리랑	구로 아리랑'의 감독은(는) 누구인가요?	구로 아리랑을 만든 감독의 이름은 무엇인가요?	265	"O,O,O"
센티미엔토: 사랑의 감각'의 감독은(는) 누구인가요?	센티미엔토: 사랑의 감각'의 감독은(는) 이자벨 코이젯트(이)에요.	어떤 사람이 센티미엔토: 사랑의 감각의 감독인가요?	이자벨 코이젯트는 센티미엔토: 사랑의 감각의 감독이에요.	이자벨 코이젯트	감독	센티미엔토: 사랑의 감각	센티미엔토: 사랑의 감각'의 감독은(는) 누구인가요?	어떤 사람이 센티미엔토: 사랑의 감각의 감독인가요?	543	"O,O,O"
북경반점 (영화)'의 감독은(는) 누구인가요?	북경반점 (영화)'의 감독은(는) 김의석(이)에요.	북경반점 (영화) 감독의 이름이 어떻게 되나요?	북경반점 (영화) 감독의 이름은 김의석이에요.	김의석	감독	북경반점 (영화)	북경반점 (영화)'의 감독은(는) 김의석(이)에요.	북경반점 (영화) 감독의 이름은 김의석이에요.	102	"O,O,O"
발레교습소 (영화)'의 감독은(는) 누구인가요?	발레교습소 (영화)'의 감독은(는) 변영주(이)에요.	발레교습소를 만든 감독은 누구인가요?	발레교습소는 변영주 감독의 작품이에요.	변영주	감독	발레교습소 (영화)	발레교습소 (영화)'의 감독은(는) 변영주(이)에요.	발레교습소는 변영주 감독의 작품이에요.	316	"O,O,O"
산책 (영화)'의 감독은(는) 누구인가요?	산책 (영화)'의 감독은(는) 이정국(이)에요.	영화 산책을 감독한 사람의 이름은 무엇인가요?	영화 산책을 감독한 사람의 이름은 이정국이에요.	이정국	감독	산책 (영화)	산책 (영화)'의 감독은(는) 누구인가요?	영화 산책을 감독한 사람의 이름은 무엇인가요?	545	"O,O,O"
'탈주'의 감독은(는) 누구인가요?	'탈주'의 감독은(는) 이송희일(이)에요.	'탈주'를 누가 만들었나요?	'탈주'는 이송희일이 만들었어요.	이송희일	감독	탈주	'탈주'의 감독은(는) 누구인가요?	'탈주'를 누가 만들었나요?	511	"O,A,A"
형 (1984년 영화)'의 감독은(는) 누구인가요?	형 (1984년 영화)'의 감독은(는) 이상언(이)에요.	영화 형(1984)의 감독이 누군지 아시나요?	영화 형(1984)의 감독은 이상언이에요	이상언	감독	형 (1984년 영화)	형 (1984년 영화)'의 감독은(는) 누구인가요?	영화 형(1984)의 감독이 누군지 아시나요?	493	"O,X,O"
복숭아나무 (영화)'의 감독은(는) 누구인가요?	복숭아나무 (영화)'의 감독은(는) 구혜선(이)에요.	누가 복숭아나무의 감독인가요?	구혜선이 복숭아나무의 감독이에요.	구혜선	감독	복숭아나무 (영화)	복숭아나무 (영화)'의 감독은(는) 구혜선(이)에요.	구혜선이 복숭아나무의 감독이에요.	36	"O,O,O"
더 웹툰: 예고살인'의 감독은(는) 누구인가요?	더 웹툰: 예고살인'의 감독은(는) 김용균 (1966년)(이)에요.	더 웹툰: 예고살인'의 감독의 이름은 무엇인가요?	김용균 (1966년)은 더 웹툰: 예고살인'의 감독이라고 해요	김용균 (1966년)	감독	더 웹툰: 예고살인	더 웹툰: 예고살인'의 감독은(는) 김용균 (1966년)(이)에요.	김용균 (1966년)은 더 웹툰: 예고살인'의 감독이라고 해요	94	"O,O,O"
