원본질문데이터	원본정답데이터	작업자질문데이터	작업자정답데이터	VALUE	property	resource	초기작업번호	보기	작업데이터	OX작업번호	OX작업
'황순원'의 종교은(는) 무엇인가요?	'황순원'의 종교은(는) 개신교(이)에요.	황순원은 어떤 종교를 믿고 있나요?	황순원은 개신교 신자에요.	개신교	종교	황순원	439	'황순원'의 종교은(는) 개신교(이)에요.	황순원은 개신교 신자에요.	3470	"O,O,O"
고든_무어'의 출생지는 어디인가요?	고든_무어'의 출생지는 캘리포니아_주(이)에요.	고든 무어는 어디에서 탄생했나요?	캘리포니아 주에서 고든 무어는 출생했어요.	캘리포니아_주	출생지	고든_무어	330	고든_무어'의 출생지는 캘리포니아_주(이)에요.	캘리포니아 주에서 고든 무어는 출생했어요.	2604	"O,O,O"
나이아가라폴스_(온타리오_주)'은(는) 어느 나라에 있나요?	나이아가라폴스_(온타리오_주)'은(는) 캐나다에 있어요.	나이아가라폴스(온타리오 주)를 포함하고 있는 나라는 어디인가요?	나이아가라폴스(온타리오 주)를 포함하고 있는 나라는 캐나다에요.	캐나다	국가	나이아가라폴스_(온타리오_주)	193	나이아가라폴스_(온타리오_주)'은(는) 어느 나라에 있나요?	나이아가라폴스(온타리오 주)를 포함하고 있는 나라는 어디인가요?	1519	"O,O,O"
'고다이라_구니히코'은(는) 수상내역(으)로 무엇이 있나요?	고다이라_구니히코'은(는) 수상내역(으)로 필즈상이 있어요.	'고다이라_구니히코'은(는) 무슨 상을 받았나요?	'고다이라_구니히코'은(는) 필즈상을 받았어요.	필즈상	수상내역	고다이라_구니히코	294	고다이라_구니히코'은(는) 수상내역(으)로 필즈상이 있어요.	'고다이라_구니히코'은(는) 필즈상을 받았어요.	2322	"O,O,O"
'각설이_품바_타령'의 등급은(는) 무엇인가요?	각설이_품바_타령'의 등급은(는) 12세 이용가(이)에요.	'각설이_품바_타령'은 무슨 등급인가요?	'각설이_품바_타령'을 볼 수 있는 등급은 12세 부터에요.	12세 이용가	등급	각설이_품바_타령	38	'각설이_품바_타령'의 등급은(는) 무엇인가요?	'각설이_품바_타령'은 무슨 등급인가요?	299	"O,O,O"
나카야마_다다시'은(는) 어디 소속인가요?	나카야마_다다시' 나고야_대학 소속이에요.	나카야마 다다시는 어디에 속해있나요?	나고야 대학은 나카야마 다다시의 소속이에요.	나고야_대학	소속	나카야마_다다시	284	나카야마_다다시'은(는) 어디 소속인가요?	나카야마 다다시는 어디에 속해있나요?	2243	"O,O,O"
'가족시네마_(2012년_영화)'의 장르은(는) 무엇인가요?	'가족시네마_(2012년_영화)'의 장르은(는) 드라마(이)에요.	가족시네마(2012년 영화)는 어떤 장르인가요?	가족시네마(2012년 영화)는 드라마로 분류되어요.	드라마	장르	가족시네마_(2012년_영화)	48	'가족시네마_(2012년_영화)'의 장르은(는) 무엇인가요?	가족시네마(2012년 영화)는 어떤 장르인가요?	381	"O,O,O"
백승탁'은(는) 수상내역으로 무엇이 있나요?	백승탁'은(는) 수상내역으로 대한민국이(가) 있어요.	백승탁의 수상내역이 알고싶어요.	백승탁의 수상내역에는 대한민국이 있어요.	대한민국	수상내역	백승탁	407	백승탁'은(는) 수상내역으로 무엇이 있나요?	백승탁의 수상내역이 알고싶어요.	3213	"O,O,O"
'고든_무어'의 직업은(는) 무엇인가요?	'고든_무어'의 직업은(는) 인텔(이)에요.	무엇이 고든 무어의 직업인가요?	고든 무어는 인텔을 직업으로 하고있어요.	인텔	직업	고든_무어	313	'고든_무어'의 직업은(는) 인텔(이)에요.	고든 무어는 인텔을 직업으로 하고있어요.	2474	"O,O,O"
'드네프르_강'의 발원지은(는) 어디인가요?	'드네프르_강'의 발원지은(는) 빙하(이)에요.	드네프르 강은 어디에서 시작하나요?	드네프르 강은 빙하에서 시작해요.	빙하	발원지	드네프르_강	268	'드네프르_강'의 발원지은(는) 어디인가요?	드네프르 강은 어디에서 시작하나요?	2113	"O,O,O"
'구_요도_강'의 길이은(는) 얼마인가요?	'구_요도_강'의 길이은(는) 13.83km(이)에요.	구 요도 강은 얼마나 긴가요?	구 요도 강은 13.83km의 길이에요.	13.83km	길이	구_요도_강	242	'구_요도_강'의 길이은(는) 얼마인가요?	구 요도 강은 얼마나 긴가요?	1905	"A,O,O"
'도나우_강'의 길이은(는) 얼마인가요?	'도나우_강'의 길이은(는) 2860km(이)에요.	도나우 강은 얼만큼의 거리가 되나요?	도나우 강은 2860km의 거리에요.	2860km	길이	도나우_강	245	'도나우_강'의 길이은(는) 얼마인가요?	도나우 강은 얼만큼의 거리가 되나요?	1931	"O,O,A"
'1996년_하계_올림픽'의 참가선수은(는) 얼마나 되나요?	'1996년_하계_올림픽'의 참가선수은(는) 10320명(이)에요.	1996년 하계 올림픽의 참가 선수는 몇 명인가요?	1996년 하계 올림픽에 참가한 선수는 10320명이에요.	10320명	참가선수	1996년_하계_올림픽	181	'1996년_하계_올림픽'의 참가선수은(는) 10320명(이)에요.	1996년 하계 올림픽에 참가한 선수는 10320명이에요.	1424	"O,O,O"
'게오르크_루트비히_폰_트라프'의 직업은(는) 무엇인가요?	'게오르크_루트비히_폰_트라프'의 직업은(는) 음악가(이)에요.	게오르크 루트비히 폰 트라프는 무엇을 직업으로 삼았나요?	게오르크 루트비히 폰 트라프는 음악가를 직업으로 삼았어요.	음악가	직업	게오르크_루트비히_폰_트라프	104	'게오르크_루트비히_폰_트라프'의 직업은(는) 음악가(이)에요.	게오르크 루트비히 폰 트라프는 음악가를 직업으로 삼았어요.	826	"O,O,O"
가이_칼튼'은(는) 어디에서 복무했나요?	가이_칼튼'의 영국군에서 복무했어요.	가이 칼튼이 소속되어 있던 곳은 어디인가요?	영국군에 가이칼튼이 근무했었어요	영국군	복무	가이_칼튼	71	가이_칼튼'의 영국군에서 복무했어요.	영국군에 가이칼튼이 근무했었어요	568	"O,O,O"
2016년_하계_올림픽'의 개최 도시은(는) 어디인가요?	2016년_하계_올림픽'의 개최 도시은(는) 리우데자네이루(이)에요.	2016년 하계 올림픽이 열린 곳은 어디인가요?	리우데자네이루에서 2016년 하계 올림픽이 열렸어요.	리우데자네이루	개최 도시	2016년_하계_올림픽	153	2016년_하계_올림픽'의 개최 도시은(는) 어디인가요?	2016년 하계 올림픽이 열린 곳은 어디인가요?	1199	"O,O,O"
'2008년_하계_올림픽'의 참가국은(는) 얼마나 되나요?	'2008년_하계_올림픽'의 참가국은(는) 204개국(이)에요.	몇나라가 2008년 하계 올림픽에 참가했어요?	204개국은 2008년 하계올림픽의 참가국이예요.	204개국	참가국	2008년_하계_올림픽	175	'2008년_하계_올림픽'의 참가국은(는) 얼마나 되나요?	몇나라가 2008년 하계 올림픽에 참가했어요?	1375	"O,O,O"
고든_무어'의 출생지는 어디인가요?	고든_무어'의 출생지는 캘리포니아_주(이)에요.	고든_무어의 교향은 어디인가요?	고든_무어의 고향은 태평양에 면한 주인 주도가 새크라멘토인 곳이에요.	캘리포니아_주	출생지	고든_무어	330	고든_무어'의 출생지는 캘리포니아_주(이)에요.	고든_무어의 고향은 태평양에 면한 주인 주도가 새크라멘토인 곳이에요.	2608	"X,X,O"
경남과학기술대학교'의 설립 시기는 언제인가요?	경남과학기술대학교'의 설립 시기는 1910년이에요.	경남과학기술대학교'를 세운건 그 시기가 언제일까요?	1910년에는 경남과학기술대학교'가 세워졌어요.	1910	설립 시기	경남과학기술대학교	378	경남과학기술대학교'의 설립 시기는 1910년이에요.	1910년에는 경남과학기술대학교'가 세워졌어요.	2988	"O,O,O"
'강문봉'의 직업은(는) 무엇인가요?	'강문봉'의 직업은(는) 대학_교수(이)에요.	강문봉의 직업은 어떻게 되나요?	강문봉의 직업은 대학에서 교수일을 하는 거예요.	대학_교수	직업	강문봉	102	'강문봉'의 직업은(는) 무엇인가요?	강문봉의 직업은 어떻게 되나요?	815	"O,O,O"
게르하르트_호흐실트'의 출신대학은 어디인가요?	게르하르트_호흐실트'의 출신대학은 프린스턴_대학교(이)에요.	게르하르트 호흐실트가 다녔던 대학은 어디인가요?	게르하르트 호흐실트는 프린스턴 대학교를 나왔어요.	프린스턴_대학교	출신대학	게르하르트_호흐실트	332	게르하르트_호흐실트'의 출신대학은 프린스턴_대학교(이)에요.	게르하르트 호흐실트는 프린스턴 대학교를 나왔어요.	2622	"O,O,O"
'김영옥_(군인)'은(는) 수상내역(으)로 무엇이 있나요?	김영옥_(군인)'은(는) 수상내역(으)로 수훈_십자장_(미국)이(가) 있어요.	김영옥 (군인)이 수상한 상에는 무엇이 있나요?	김영옥 (군인)이 수상하 상에는 수훈 십자장 (미국)이 있어요.	수훈_십자장_(미국)	수상내역	김영옥_(군인)	99	'김영옥_(군인)'은(는) 수상내역(으)로 무엇이 있나요?	김영옥 (군인)이 수상한 상에는 무엇이 있나요?	791	"O,O,O"
대니얼_모건'의 생일은(는) 언제인가요?	'대니얼_모건'의 생일은(는) 1736-07-06(이)에요.	대니얼 모건이 태어난 날은 언제인가요?	대니얼 모건이 태어난 날은 1736-07-06이에요.	1736-07-06	생일	대니얼_모건	90	'대니얼_모건'의 생일은(는) 1736-07-06(이)에요.	대니얼 모건이 태어난 날은 1736-07-06이에요.	720	"O,O,O"
'게오르크_루트비히_폰_트라프'은(는) 수상내역(으)로 무엇이 있나요?	게오르크_루트비히_폰_트라프'은(는) 수상내역(으)로 마리아_테레지아_군사훈장이(가) 있어요.	게오르크 루트비히 폰 트라프의 수상내역으로는 무엇이 있나요?	수상내역으로 마리아 테레지아 군사훈장이 있어요.	마리아_테레지아_군사훈장	수상내역	게오르크_루트비히_폰_트라프	92	게오르크_루트비히_폰_트라프'은(는) 수상내역(으)로 마리아_테레지아_군사훈장이(가) 있어요.	수상내역으로 마리아 테레지아 군사훈장이 있어요.	730	"X,X,O"
'2000년_하계_올림픽'의 참가선수은(는) 얼마나 되나요?	'2000년_하계_올림픽'의 참가선수은(는) 10651명(이)에요.	2000년 하계 올림픽에 참여한 선수는 몇 명인가요?	2000년 하계 올림픽에 참여한 선수는 10651명이에요.	10651명	참가선수	2000년_하계_올림픽	182	'2000년_하계_올림픽'의 참가선수은(는) 얼마나 되나요?	2000년 하계 올림픽에 참여한 선수는 몇 명인가요?	1429	"O,O,O"
'나이아가라폴스_(온타리오_주)'의 인구은(는) 얼마나 되나요?	'나이아가라폴스_(온타리오_주)'의 인구은(는) 831841명(이)에요.	나이아가라폴스 온타리오 주의 인원수는 어떻게 되나요?	나이아가라폴스 온타리오 주의 인원수는 831841명이에요.	831841명	인구	나이아가라폴스_(온타리오_주)	223	'나이아가라폴스_(온타리오_주)'의 인구은(는) 831841명(이)에요.	나이아가라폴스 온타리오 주의 인원수는 831841명이에요.	1754	"O,O,O"
'2000년_하계_올림픽'의 참가선수은(는) 얼마나 되나요?	'2000년_하계_올림픽'의 참가선수은(는) 10651명(이)에요.	'2000년 하계 올림픽'에 참가하는 선수들은 몇 명인가요?	'2000년 하계 올림픽'에 참가하는 선수들은 10651명이에요	10651명	참가선수	2000년_하계_올림픽	182	'2000년_하계_올림픽'의 참가선수은(는) 얼마나 되나요?	'2000년 하계 올림픽'에 참가하는 선수들은 몇 명인가요?	1435	"O,O,O"
김태영_(1949년)'의 생일은(는) 언제인가요?	'김태영_(1949년)'의 생일은(는) 1949-01-13(이)에요.	김태영 1949년의 생일은 언제예요?	김태영 1949년의 생일은 1949-01-13이예요.	1949.1.13	생일	김태영_(1949년)	86	'김태영_(1949년)'의 생일은(는) 1949-01-13(이)에요.	김태영 1949년의 생일은 1949-01-13이예요.	682	"O,O,O"
'나일_강'의 길이은(는) 얼마인가요?	'나일_강'의 길이은(는) 6690km(이)에요.	'나일 강'은 얼마나 긴가요?	'나일 강'의 규모는 6690km 길이예요	6690km	길이	나일_강	243	'나일_강'의 길이은(는) 6690km(이)에요.	'나일 강'의 규모는 6690km 길이예요	1918	"X,O,O"
'2012년_하계_올림픽'의 참가선수은(는) 얼마나 되나요?	'2012년_하계_올림픽'의 참가선수은(는) 10768명(이)에요.	2012년 하계 올림픽에 참가한 선수는 몇명이예요?	10768명이 참가한 하계 올림픽은 2012년이예요.	10768명	참가선수	2012년_하계_올림픽	183	'2012년_하계_올림픽'의 참가선수은(는) 10768명(이)에요.	10768명이 참가한 하계 올림픽은 2012년이예요.	1440	"O,A,O"
'도루_강'의 하구은(는) 어디인가요?	'도루_강'의 하구은(는) 포스두도루(이)에요.	도루 강의 하구는 어디예요?`	도루 강의 하구는 포스두도루예요.	포스두도루	하구	도루_강	277	'도루_강'의 하구은(는) 어디인가요?	도루 강의 하구는 어디예요?`	2185	"O,O,O"
'걸걸중상'은(는) 기타이력(으)로 무엇이 있나요?	걸걸중상'은(는) 기타이력(으)로 고구려이(가) 있어요.	어떤 것을 걸걸중상의 기타이력으로 들 수 있나요?	걸걸중상의 기타이력에 대해 말하자면 고구려가 있어요.	고구려	기타이력	걸걸중상	67	걸걸중상'은(는) 기타이력(으)로 고구려이(가) 있어요.	걸걸중상의 기타이력에 대해 말하자면 고구려가 있어요.	532	"O,O,O"
남광우'의 출생지는 어디인가요?	남광우'의 출생지는 경기도(이)에요.	남광우는 어디에서 태어났나요?	남광우는 경기도에서 태어났어요.	경기도	출생지	남광우	443	남광우'의 출생지는 경기도(이)에요.	남광우는 경기도에서 태어났어요.	3504	"O,O,O"
'게르트_팔팅스'은(는) 수상내역(으)로 무엇이 있나요?	게르트_팔팅스'은(는) 수상내역(으)로 쇼상이 있어요.	게르트_팔팅스는 어떤 수상내역이 있나요?	게르트_팔팅스의 수상내역은 쇼상이에요.	쇼상	수상내역	게르트_팔팅스	291	게르트_팔팅스'은(는) 수상내역(으)로 쇼상이 있어요.	게르트_팔팅스의 수상내역은 쇼상이에요.	2296	"O,O,O"
'로버트_고더드'의 직업은(는) 무엇인가요?	'로버트_고더드'의 직업은(는) 공학자(이)에요.	로버트 고더드는 무슨 직업을 가지고 있나요?	공학자는 로버트 고더드의 직업이에요.	공학자	직업	로버트_고더드	318	'로버트_고더드'의 직업은(는) 무엇인가요?	로버트 고더드는 무슨 직업을 가지고 있나요?	2515	"O,O,O"
